,Issue#,Title,Owner,Description,Labels,Reviewers,Assignees,Opened time,Closed time,Changed Files,Commits,Events,Participants,Number of Comments,Merged
2634,3891,Fix broken blas flags on Anaconda with openblas.,abergeron,"Also fix broken default blas fallback.
",,,,2016-01-19 23:37:50,2016-01-21 19:20:21,theano/tensor/blas.py,4c0190852ff6f988dbd04a473e2d331a842a281e 034c9c37b60b74883a428b116ca6e352d6ee4dd4 3aa7a24b7e6ff65d6162e30b844aaed4a8b1c4af 62eed15f024e5131a0743d8ddcc608ede8b12681 80acc74ccfefeea370ab730a07a55e3886f4ff51,"nouiz referenced 2016-01-21 19:20:21,nouiz merged 2016-01-21 19:20:21,nouiz closed 2016-01-21 19:20:21,abergeron head_ref_deleted 2016-02-02 20:20:41",abergeron nouiz lamblin,11,True
2635,3893,Remove more warnings from the buildbot,abergeron,"This should remove about 50% of the remaining warning messages in the tests.

The rest is a case of 80% of the effort for 20% of results.  I still might get to it at some point.
",,,,2016-01-20 00:16:06,2016-01-20 05:03:17,theano/tensor/nnet/conv3d2d.py theano/tensor/nnet/tests/test_corr.py,d93640a8d1f133374d94d43d03bbd01451d956e8 f71362359cf82712057833ae1e33b1e6ecda455a,"lamblin referenced 2016-01-20 05:03:17,lamblin merged 2016-01-20 05:03:17,lamblin closed 2016-01-20 05:03:17",abergeron lamblin,1,True
2636,3895,"[DOC, ENH] allow to use gdb with nvcc. Doc how to use gdb",nouiz,,,,,2016-01-20 06:09:51,2016-01-21 16:32:34,theano/sandbox/cuda/nvcc_compiler.py doc/tutorial/extending_theano_c.txt theano/sandbox/cuda/__init__.py,4507dd16cb5a1a77e90d4d25440f797c07f804a5 3dc4855e4e9b707ff937139dfa7331f4d72c6a3f ef304dbf969fd125a57a9ce7b7af36f9024a5b95 a341a7788f977a542e6a008e19b71852d88895a0 9cbbbd7a3236624e3edc77fdfcdbdf1037e4c1b5,"lamblin referenced 2016-01-21 16:32:34,lamblin merged 2016-01-21 16:32:34,lamblin closed 2016-01-21 16:32:34,nouiz head_ref_deleted 2016-01-21 16:36:16",nouiz lamblin,4,True
2637,3896,Bug fix: don't try to os.mkdirs on an empty directory,claymcleod,"Came across this bug when trying to output visualizations to the current directory. Previous code enforced that all visualizations be contained in a subdirectory, as the directory was never checked before calling os.mkdirs().

```
Traceback (most recent call last):
  File ""main.py"", line 88, in <module>
    main()
  File ""main.py"", line 85, in main
    output_viz(nn_step, 'step.html')
  File ""main.py"", line 79, in output_viz
    V.d3viz(fn, name)
  File ""/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/site-packages/theano/d3viz/d3viz.py"", line 85, in d3viz
    os.makedirs(outdir)
  File ""/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/os.py"", line 157, in makedirs
    mkdir(name, mode)
OSError: [Errno 2] No such file or directory: ''""
```
",,,,2016-01-20 08:09:46,2016-01-20 15:40:15,theano/d3viz/d3viz.py,2163e1f5a1ee3dc78b4f0fe965a1cc04b0234593,"carriepl referenced 2016-01-20 15:40:15,carriepl merged 2016-01-20 15:40:15,carriepl closed 2016-01-20 15:40:15",carriepl claymcleod,1,True
2638,3897,Fixed import of local pool submodule,jfsantos,"`pool` is a local submodule, so it should be imported as `from . import pool` instead of `import pool`. This fixes a bug when importing the `downsample` module (at least on Python 3).

fix gh-3894
",,,,2016-01-20 14:16:27,2016-01-20 15:33:29,theano/tensor/signal/downsample.py,956f8dc0f155e1e4ee21972b892aa94dac6534a5,"nouiz referenced 2016-01-20 15:33:29,nouiz merged 2016-01-20 15:33:29,nouiz closed 2016-01-20 15:33:29",jfsantos nouiz,2,True
2639,3899,Add optimizations to transfer new LogSoftmax op to the GPU as CuDNN softmax ops,carriepl,"fix gh-3882
",,,,2016-01-20 16:56:25,2016-01-22 04:01:38,theano/sandbox/gpuarray/tests/test_dnn.py theano/sandbox/gpuarray/dnn.py theano/sandbox/cuda/tests/test_dnn.py theano/sandbox/cuda/dnn.py,da939705e94467f9e89d0197dfcfd79934f4e149 990121954228cb1a5a5cdf3a48d6359064c66d53 c40c1ed3d8ea72e370c966a621b19452ddaf17bb bdcb8d266f253ebd37c6215179b847b5d3f8ed98 6f549791692378c929bb1b542ba70ec7622bdf0f 487cf52c89fc8f998d22f5051ba2ba95fb404801 00821f978a807be842b13fed7f1dcfb272481f2c ced656faaf6a2718a217d11a137b492c00a1b511 f8bbacbdedde64029b5abc9e9aae5f945d61b621,"lamblin referenced 2016-01-22 04:01:38,lamblin merged 2016-01-22 04:01:38,lamblin closed 2016-01-22 04:01:38",nouiz abergeron carriepl lamblin,19,True
2640,3901,"Added CuDNN version output, should it be compiled and reachable",claymcleod,"Directed at issue #3876. 

NOTE: I have not been able to reproduce this, I need someone with a properly configured GPU to confirm that this works as intended.

However, it's a relatively small change, and I inferred types based on what the C function returns.
",,,,2016-01-20 20:49:56,2016-01-22 18:21:01,theano/sandbox/cuda/__init__.py,235929b5cc0ea5b7861499dcf61d22caba80fee3 c9e3f4cef72f7ae505c1e6d153fb5a5f410efaf1,"abergeron renamed 2016-01-20 20:53:59,lamblin mentioned 2016-01-20 22:11:07,lamblin subscribed 2016-01-20 22:11:07,claymcleod renamed 2016-01-20 22:13:14,claymcleod mentioned 2016-01-20 22:23:12,claymcleod subscribed 2016-01-20 22:23:12,abergeron renamed 2016-01-20 22:23:52,claymcleod mentioned 2016-01-20 22:29:56,claymcleod subscribed 2016-01-20 22:29:56,claymcleod mentioned 2016-01-20 22:31:08,claymcleod subscribed 2016-01-20 22:31:08,abergeron mentioned 2016-01-20 22:35:16,abergeron subscribed 2016-01-20 22:35:16,claymcleod closed 2016-01-22 18:21:01",nouiz abergeron claymcleod lamblin,17,False
2641,3902,Fix allow_downcast on gpuarray,abergeron,"Also stop assuming that update_val will have a type in the error message.
",,,,2016-01-20 22:00:37,2016-01-21 19:19:41,theano/compile/pfunc.py theano/sandbox/gpuarray/type.py theano/sandbox/gpuarray/tests/test_type.py,be838ed89b590b1373ac7207a69aa28f6c822292 8884e693a70a7df7637c9126f7ec625e7346b786 b88a0162281466f406a2b43c9929101ec658076d 6639305c8a1bf67e8d6394703785585b8a0fddfb,"nouiz referenced 2016-01-21 19:19:41,nouiz merged 2016-01-21 19:19:41,nouiz closed 2016-01-21 19:19:41,abergeron head_ref_deleted 2016-02-02 20:22:41",abergeron nouiz,5,True
2642,3903,R_op for AbstractConv2d,matthias-k,"The implementation is exactly as in Conv2d.

Fixes #3888.
",,,,2016-01-21 14:11:24,2016-01-22 15:01:37,theano/tests/test_rop.py theano/tensor/nnet/abstract_conv.py,578c145b9fb1f1d76d608dbfb2aa63347483acb5 0abf03bd0f517efcbc4a53ff6dc761ed53f8ed95,"lamblin referenced 2016-01-22 15:01:37,lamblin merged 2016-01-22 15:01:37,lamblin closed 2016-01-22 15:01:37",matthias-k nouiz lamblin,5,True
2643,3905,"Don't use CorrMM when there is no c compiler (no perform, it will fal…",nouiz,"…lback to the old conv that have perform)
",,,,2016-01-21 15:35:54,2016-01-21 18:20:49,theano/tensor/nnet/opt.py,2beb17a3bdc49dd608434b1eb2e6f415e991b80b,"nouiz mentioned 2016-01-21 17:21:18,nouiz subscribed 2016-01-21 17:21:18,carriepl referenced 2016-01-21 18:20:49,carriepl merged 2016-01-21 18:20:49,carriepl closed 2016-01-21 18:20:49,nouiz head_ref_deleted 2016-01-21 19:20:08",vdumoulin carriepl nouiz lamblin,2,True
2644,3907,Optimization test for convolution,laurent-dinh,,,,,2016-01-21 16:53:41,2016-01-22 15:02:18,theano/sandbox/cuda/tests/test_abstractconv.py theano/sandbox/gpuarray/tests/test_abstractconv.py,97fe07f0e383be078238b1cd8237f449d2088118 6877f6fb5c9545ef26875dae6e01be2e90af2979,"laurent-dinh mentioned 2016-01-22 04:04:01,laurent-dinh subscribed 2016-01-22 04:04:01,laurent-dinh head_ref_force_pushed 2016-01-22 04:21:29,lamblin referenced 2016-01-22 15:02:18,lamblin merged 2016-01-22 15:02:18,lamblin closed 2016-01-22 15:02:18",nouiz lamblin laurent-dinh,6,True
2645,3908,keep stacktrace in abstract_conv optimizations,vmichals,"fix #3589 
",,,,2016-01-21 19:48:52,2016-01-25 15:33:56,theano/sandbox/gpuarray/tests/test_abstractconv.py .gitignore theano/tensor/nnet/opt.py,3805e3b5911111fa40ba73ba766f71436a3b7808 a41fc8b039b7adaba6040cbfb5aa4e0f35869fc2,"vmichals head_ref_force_pushed 2016-01-22 17:21:02,vmichals head_ref_force_pushed 2016-01-22 17:38:50,lamblin referenced 2016-01-25 15:33:56,lamblin merged 2016-01-25 15:33:56,lamblin closed 2016-01-25 15:33:56,vmichals head_ref_deleted 2016-01-26 06:34:00",vmichals lamblin,16,True
2646,3909,name deep learning in git repo so that Theano show up in github searc…,nouiz,"…h result for deep learning
",,,,2016-01-21 20:34:58,2016-01-22 05:55:31,doc/index.txt,df7fdaea655a2caf703fd61a50bc070a72dff28e,"lamblin referenced 2016-01-22 05:55:31,lamblin merged 2016-01-22 05:55:31,lamblin closed 2016-01-22 05:55:31,nouiz head_ref_deleted 2016-01-25 12:11:17",nouiz lamblin,0,True
2647,3911,"Add an ""as_buffer"" member function to CudaNdarray object",hma02,"Similar to the pycuda.gpuarray.GPUArray.gpudata.as_buffer function, user can use this function to get the memory of a CudaNdarray as a Python Buffer object. This function can be commonly used in GPU memory transferring based on MPI function in multi-GPU training.

See this issue on Google Groups:
https://groups.google.com/forum/#!searchin/theano-dev/theano.misc.pycuda_utils.to_gpuarray()/theano-dev/4hhFsteAq2I/beynb2UNAQAJ
",,,,2016-01-21 21:38:57,2017-09-15 18:06:59,theano/sandbox/cuda/cuda_ndarray.cu,d51f368d03d238d511e04eecb94c65a3a58beb1a daa1dbcad6044155525174018debc19a85250000,nouiz closed 2017-09-15 18:06:59,abergeron nouiz hma02,3,False
2648,3912,Make sure grads of abstract conv ops have the right type,lamblin,,,,,2016-01-22 00:26:21,2016-01-23 16:25:45,theano/sandbox/cuda/tests/test_abstractconv.py theano/sandbox/gpuarray/tests/test_abstractconv.py theano/tensor/nnet/abstract_conv.py,6bf15e52c72eba4656a4a1ad31d4afc95e8c30ee,"lamblin head_ref_force_pushed 2016-01-22 21:49:29,nouiz referenced 2016-01-23 16:25:45,nouiz merged 2016-01-23 16:25:45,nouiz closed 2016-01-23 16:25:45",vdumoulin nouiz carriepl lamblin,4,True
2649,3913,Make sure imshp and kshp are constant,lamblin,"Otherwise, if they are symbolic variables, they could be
used during shape inference, which could introduce dependencies
on variables outside of the graph.

I'm not sure what the best way of raising the exception again with a different error message should be.
",,,,2016-01-22 00:27:05,2016-03-08 21:31:26,theano/tensor/nnet/tests/test_abstract_conv.py theano/sandbox/cuda/tests/test_abstractconv.py theano/sandbox/gpuarray/tests/test_abstractconv.py theano/tensor/nnet/abstract_conv.py,4e7913c2929ba6ca1fffef6fe05ece611869e219 0d4e482da3c54f84e82bdf1ee8b5c5c19cbdf06c 121ec69aed8e1fb937faed235c5e5596ce091e78,"lamblin renamed 2016-01-22 00:41:44,lamblin head_ref_force_pushed 2016-03-04 02:02:25,lamblin head_ref_force_pushed 2016-03-04 23:04:17,lamblin renamed 2016-03-04 23:05:31,lamblin head_ref_force_pushed 2016-03-07 22:58:30,abergeron referenced 2016-03-08 21:31:26,abergeron merged 2016-03-08 21:31:26,abergeron closed 2016-03-08 21:31:26",abergeron nouiz lamblin,9,True
2650,3915,remove the mistakenly copied file ':w',Saizheng,"@lamblin  This is to fix the problem in https://github.com/Theano/Theano/pull/3870
",,,,2016-01-22 15:47:02,2016-01-22 16:24:19,theano/tensor/:w,0d413f9b0436f52392414febcf7c7f59411ea7c8,"lamblin mentioned 2016-01-22 15:47:02,lamblin subscribed 2016-01-22 15:47:02,abergeron referenced 2016-01-22 16:24:19,abergeron merged 2016-01-22 16:24:19,abergeron closed 2016-01-22 16:24:19",Saizheng abergeron lamblin,1,True
2651,3916,Option for passing additional libraries for the GCC.,machpavel,"When using Theano on windows, I ran into a problem with linking - I needed to link package libpython.
So in .theanorc, I added

> [gcc]
> cxxflags = -Lc:\\Anaconda3\\libs -llibpython34

but that did not solve the issue.
Finally, I find out that it is because cxxflags are passed as the first arguments for the GCC - but GCC only accepts -l switch when it is passed AFTER source files.
Therefore, I modified python code that generates the GCC command, so it can accept additional libraries from the configuration. Now, my GCC section of .theanorc looks like this and the problem is solved:

> [gcc]
> cxxflags = -shared -Ic:\\mingw\\mingw32\\include -Lc:\\Anaconda3\\libs -DMS_WIN64
> libraries = libpython34
",,,,2016-01-22 16:08:16,2017-09-15 18:08:14,theano/configdefaults.py theano/gof/cmodule.py,42e96082231badada4090747073567572a26bc5d,nouiz closed 2017-09-15 18:08:14,machpavel nouiz lamblin,5,False
2652,3917,fixes #3556: more robust determination of python library name ,andreh7,"fixes #3556: more robust determination of python library name and directory in function std_lib_dirs_and_libs(), now works on private python installations on Linux 
",,,,2016-01-23 13:57:43,2016-02-02 00:33:44,theano/gof/cmodule.py,cc80d7303f3ec7198edf934aa72a5ee315bc4678 31f59dcfc05faf68a7f5083e6a68e818d2e49515 0fe82c4cd13d8557984a0ea975b24d3fbecf4ed2,"nouiz mentioned 2016-02-01 22:59:29,nouiz subscribed 2016-02-01 22:59:29,nouiz referenced 2016-02-02 00:33:44,nouiz merged 2016-02-02 00:33:44,nouiz closed 2016-02-02 00:33:44,andreh7 head_ref_deleted 2016-02-09 20:36:39",andreh7 abergeron nouiz,2,True
2653,3918,Doc installation on Tegra TX1 board.,nouiz,,,,,2016-01-23 17:16:42,2016-01-26 04:52:44,theano/misc/check_blas.py doc/install_ubuntu.txt,95239857892b91261aca45927118caa7a3a5bbf5 1cf5fd35307fcbf5a943723360b5463c8fdcdd55,"lamblin mentioned 2016-01-26 03:31:13,lamblin subscribed 2016-01-26 03:31:13,lamblin referenced 2016-01-26 04:52:44,lamblin merged 2016-01-26 04:52:44,lamblin closed 2016-01-26 04:52:44,nouiz head_ref_deleted 2016-03-09 17:39:35",titusnicolae nouiz lamblin,4,True
2654,3924,Move the extending_theano documentation out of tutorial,fvisin,"Fixes #3670 

@abergeron I tried to split the documentation in sections to make it more readable, let me know if they seem reasonable.
",,,,2016-01-24 22:58:04,2016-02-08 18:06:34,doc/tutorial/index.txt doc/extending/pics/symbolic_graph_opt.png doc/extending/pics/symbolic_graph_unopt.png doc/cifarSC2011/index.txt doc/crei2013/index.txt doc/extending/extending_theano_solution_1.py theano/tensor/signal/pool.py doc/glossary.txt doc/tutorial/symbolic_graphs.txt doc/extending/index.txt doc/extending/graphstructures.txt doc/extending/extending_theano.txt doc/extending/fibby.txt doc/extending/extending_theano_c.txt,f649149a0a00e82aeaff52acf6a44fce40ece6a3 5621b267a2da5379326bcae9da0ca2095fd294f1 1aa76646799e6b5b05b2b00439748a1237e31fe0 c38238566e7a0c7faddc42ce14fcf15ba9594e93 1020d27465e070778af72b3d96dd6f7748490af3 eba65e5e262c96a4a972588ea1335c2a126dfe92,"abergeron mentioned 2016-01-24 22:58:04,abergeron subscribed 2016-01-24 22:58:04,nouiz mentioned 2016-01-29 20:56:12,nouiz subscribed 2016-01-29 20:56:12,lamblin mentioned 2016-01-29 20:56:12,lamblin subscribed 2016-01-29 20:56:12,fvisin head_ref_force_pushed 2016-02-01 21:18:27,fvisin head_ref_force_pushed 2016-02-02 00:18:45,fvisin head_ref_force_pushed 2016-02-06 01:02:40,fvisin head_ref_force_pushed 2016-02-07 21:19:09,abergeron referenced 2016-02-08 18:06:34,abergeron merged 2016-02-08 18:06:34,abergeron closed 2016-02-08 18:06:34",fvisin abergeron nouiz lamblin,15,True
2655,3926,Alloc pickling of GpuArray object,nouiz,"I didn't test with context, but the code maybe support it. At least, it won't cause problem with old pickle due to interface change.

We can't put it easily in pygpu as there is a Theano flags that control the behavior of what should happen.
",,,,2016-01-25 12:15:20,2016-02-02 18:28:31,theano/sandbox/gpuarray/tests/GpuArray.pkl theano/sandbox/gpuarray/tests/test_pickle.py theano/sandbox/gpuarray/tests/test_type.py theano/sandbox/gpuarray/type.py,768fb73d20eed855f667f093daf02cd4f2ed2e11 48f621b055f82c9d941fb25d3f5d8ba7f0e409cc 50572e9955d090f35bb04855e57846467734aa9a 2f37aeb4c65b08d36ce158e09dfd2ab181ff2b60 6f636a8d9b51c0d7e3566bd47d0257b18806dd7c 184ea129b9876780017d0518300cadc6df5dc97f 313548292a6debd752d4fe553146b3ff0f3b7547,"nouiz head_ref_force_pushed 2016-02-01 20:16:51,lamblin referenced 2016-02-02 18:28:31,lamblin merged 2016-02-02 18:28:31,lamblin closed 2016-02-02 18:28:31,nouiz head_ref_deleted 2016-02-15 18:07:59",abergeron nouiz lamblin,14,True
2656,3931,Speed up h_softmax when full output is requested.,adbrebs,"cf #3752, thanks @shawnjhenry!

In h_softmax, replace sparse_block_dot with tensor_block when full output is requested.
",,,,2016-01-25 20:00:33,2016-02-09 14:06:42,theano/tensor/nnet/tests/test_nnet.py theano/tensor/nnet/nnet.py,fc5fe33a2d1598dcc19d46511c73f7d2632222ab 9a8bb9de8d1150055dc1859f01afae11cc9c6946,"shawnjhenry mentioned 2016-01-25 20:00:33,shawnjhenry subscribed 2016-01-25 20:00:33,adbrebs renamed 2016-01-25 21:27:50,lamblin closed 2016-02-04 19:56:03,lamblin reopened 2016-02-04 19:56:06,adbrebs head_ref_force_pushed 2016-02-08 23:07:38,lamblin mentioned 2016-02-08 23:09:50,lamblin subscribed 2016-02-08 23:09:50,nouiz renamed 2016-02-09 14:06:14,nouiz referenced 2016-02-09 14:06:42,nouiz merged 2016-02-09 14:06:42,nouiz closed 2016-02-09 14:06:42",shawnjhenry nouiz lamblin adbrebs,6,True
2657,3933,"profile_memory, print the expected peak memory usage if excluding inplace opt.",nouiz,"Also code clean up, refactoring and better output of the information.
",,,,2016-01-26 01:44:55,2016-02-02 16:48:07,theano/compile/profiling.py theano/compile/tests/test_profiling.py,cc8eaeda6390d2f071ce9a4248b8225aee396958 5170ff7b32fe4f040f7b3b4245ff9581b3533441 06f3b03badb205792d1b69782c10bc19a1315dad 33e07c220ea8d5fc19ab80bf430afdf45aea2e89 c46d30be32802f651dc445ac6e581a3ff24aadb2 a683232677270b0106be5b63ef51c8d2fc7f3b14 4a0add8e945f2bab2a929363cc1d081b1a3fb575,"lamblin referenced 2016-02-02 16:48:07,lamblin merged 2016-02-02 16:48:07,lamblin closed 2016-02-02 16:48:07,nouiz head_ref_deleted 2016-02-02 16:49:24",nouiz lamblin,4,True
2658,3935,add missing return to GpuFromHost R_op,poolio,"Add missing `return` to the `R_op` for `GpuFromHost`.
",,,,2016-01-27 00:54:26,2016-02-01 22:42:16,theano/sandbox/cuda/basic_ops.py,0d2f82a5771314409a6d3ca5634a8f74236429ac,"abergeron referenced 2016-02-01 22:42:16,abergeron merged 2016-02-01 22:42:16,abergeron closed 2016-02-01 22:42:16",poolio abergeron lamblin,1,True
2659,3936,Mostly tests fix for 32bit python,nouiz,"Also remove an old restriction that bincount can't work with uint64
",,,,2016-01-27 07:20:49,2016-02-01 17:20:28,theano/tensor/signal/tests/test_pool.py theano/tensor/tests/test_basic.py theano/tensor/subtensor.py theano/tensor/extra_ops.py theano/tests/test_printing.py theano/tensor/tests/test_extra_ops.py,5c022322e65b9c8c3a5c0d16a7f55418253a3331 319e0aae113c0a6bc06ac812056e9d703ba4be4a b2f995818b20998c4744d9b29efe6383a494976a 1ed8895ea837fc48898c9dbec3cb8745efb9d2af 2bbcab0227b926d093f8554bbb958ca25fe002c7 817ff62bf5cbd959f735e83c4f8d29b94a78ee25 497858409ec00e1da18baac5e18b284530299414 45c7b96a032b91e911ee3257380ee285e525e29a 1908d995876eb3388a57c589458ae95fa6d5deb0 5565558038d127d205d89ad7a1708969ae6a8639 bdfe90b795c5654a9a590bcee8a6659915273879,"lamblin mentioned 2016-01-30 01:54:33,lamblin subscribed 2016-01-30 01:54:33,lamblin mentioned 2016-02-01 16:21:10,lamblin subscribed 2016-02-01 16:21:10,lamblin referenced 2016-02-01 17:20:28,lamblin merged 2016-02-01 17:20:28,lamblin closed 2016-02-01 17:20:28,nouiz head_ref_deleted 2016-02-01 17:43:06",carriepl nouiz lamblin,6,True
2660,3938,Add 'half' padding to GpuArray dnn convolution,carriepl,,,,,2016-01-27 14:13:05,2016-01-27 18:26:57,theano/sandbox/gpuarray/tests/test_dnn.py theano/sandbox/gpuarray/dnn.py theano/sandbox/gpuarray/conv_desc.c,0c17be829304d2abaf31fc0267411f007ede321f 3ee95b87edad4bd04503090cf7698bf0e98c8508,"carriepl referenced 2016-01-27 18:26:57,carriepl merged 2016-01-27 18:26:57,carriepl closed 2016-01-27 18:26:57",carriepl lamblin,3,True
2661,3940,Fix most of the remaining DeprecationWarnings in the tests.,abergeron,,,,,2016-01-27 21:58:29,2016-01-28 05:08:04,theano/scalar/basic.py theano/tensor/tests/test_sort.py theano/tensor/basic.py theano/tensor/tests/test_misc.py theano/tensor/tests/test_basic.py,7fc2bcbf4f9a8f08aca20a64ce08ee17f2c2042c 529eb3834b3326d381b8fc81fad2116089d00f5f a324267756b837c53324dc3b21e6889addd614bb c96c73f7e91d7293390d1f723177c130020ded0c 1f9846655e8fc5770c9b8e767e40dc5563a507f7,"nouiz referenced 2016-01-28 05:08:04,nouiz merged 2016-01-28 05:08:04,nouiz closed 2016-01-28 05:08:04",abergeron nouiz lamblin,1,True
2662,3942,change shape dimensions int32 to int64,shabanian,,,,,2016-01-28 21:31:17,2016-02-12 18:36:53,theano/tensor/raw_random.py,0d82fe2ee8ca6638ea3a52fbba0ec87db7e0069b 4bba38a5c987dddbd80b69d5fdeaa6e44c6a789b f6758908d989cb6367e1f9c90dacdac51611fc90 f9a68d8be83695601b08e24cbc577963b74dd4b1 2d750998e05feb3629b693f84fd8c227d02a1840,"shabanian mentioned 2016-02-04 21:13:26,shabanian subscribed 2016-02-04 21:13:26,nouiz mentioned 2016-02-04 21:14:23,nouiz subscribed 2016-02-04 21:14:23,adri-romsor mentioned 2016-02-08 22:30:43,adri-romsor subscribed 2016-02-08 22:30:43,nouiz referenced 2016-02-12 18:36:53,nouiz merged 2016-02-12 18:36:53,nouiz closed 2016-02-12 18:36:53",adri-romsor shabanian nouiz lamblin,10,True
2663,3943,Fix path for BatchedDot,lamblin,"This fixes an ImportError when importing `theano.sandbox.cuda`.
",,,,2016-01-28 22:25:51,2016-01-28 23:09:50,theano/sandbox/cuda/opt.py,73fbb2143353d749088b7c86e2d689e1cd118b4e,"carriepl referenced 2016-01-28 23:09:50,carriepl merged 2016-01-28 23:09:50,carriepl closed 2016-01-28 23:09:50",carriepl lamblin,1,True
2664,3947,Renamed BatchedDotOp to GpuBatchedDot,Sentient07,"Fix #3944 
",,,,2016-01-29 00:09:59,2016-02-01 14:32:49,theano/sandbox/cuda/blas.py theano/sandbox/cuda/tests/test_blas.py theano/sandbox/cuda/opt.py doc/library/sandbox/cuda/op.txt,ed3034a3e0cdff7f9608005c50a8874a25565c4c 72d3a2809106fc72eefd1068939a96e05dd071be,"Sentient07 head_ref_force_pushed 2016-01-29 16:56:54,nouiz mentioned 2016-01-29 17:05:27,nouiz subscribed 2016-01-29 17:05:27,Sentient07 head_ref_force_pushed 2016-02-01 06:26:46,nouiz mentioned 2016-02-01 06:27:56,nouiz subscribed 2016-02-01 06:27:56,nouiz referenced 2016-02-01 14:32:49,nouiz merged 2016-02-01 14:32:49,nouiz closed 2016-02-01 14:32:49,nouiz mentioned 2016-02-10 16:37:05,nouiz subscribed 2016-02-10 16:37:05,nouiz mentioned 2016-02-12 15:05:19,nouiz subscribed 2016-02-12 15:05:19",nouiz cooijmanstim Sentient07,7,True
2665,3950,C implementation of sample without replacement OP,aalmah,"Addressing #3143. One test is still failing but I made a PR for reference.
",,,,2016-01-29 21:56:21,2016-02-29 19:57:23,theano/sandbox/multinomial.py,2c77122101312e63866d1054cc837b8c22b06fc0 f408152d12fd2487fd668e59fbd7f93378875a6d c42f938aeddabf209feb98177598de5cfff5f032 ff50c400393b3a998723b395a6acbe1a40d1bd97 14241a7d865a2a1b5a49f26b0b09278e8741d957 846804d09ea77cb87aa798ed327072b7f395c4f6 bb93f6550a5333b61f3d52891a48e616d48246c2,"lamblin mentioned 2016-02-02 14:39:14,lamblin subscribed 2016-02-02 14:39:14,abergeron mentioned 2016-02-02 14:55:56,abergeron subscribed 2016-02-02 14:55:56,nouiz mentioned 2016-02-02 14:56:57,nouiz subscribed 2016-02-02 14:56:57,aalmah head_ref_force_pushed 2016-02-08 22:59:03,aalmah head_ref_force_pushed 2016-02-24 16:25:15,bouthilx mentioned 2016-02-24 16:27:25,bouthilx subscribed 2016-02-24 16:27:25,aalmah head_ref_force_pushed 2016-02-26 16:19:56,nouiz mentioned 2016-02-26 16:25:11,nouiz subscribed 2016-02-26 16:25:11,nouiz mentioned 2016-02-26 16:28:53,nouiz subscribed 2016-02-26 16:28:53,aalmah mentioned 2016-02-26 22:09:06,aalmah subscribed 2016-02-26 22:09:06,bouthilx referenced 2016-02-29 19:57:23,bouthilx merged 2016-02-29 19:57:23,bouthilx closed 2016-02-29 19:57:23",aalmah lamblin abergeron bouthilx nouiz carriepl,30,True
