,Issue#,Title,Owner,Description,Labels,Assignees,Opened time,Closed time,Events,Participants,Number of Comments
23,24,Finish removing old Python 2.x compatibility code,brandonwillard,"There's still a lot of unnecessary code for Python 2.x compatibility that needs to be removed.  For instances, it seems like the entire `theano.compat` module could be removed.",enhancement good first issue help wanted,eigenfoo,2020-08-02 18:15:35,2020-11-02 01:38:16,"brandonwillard labeled 2020-08-02 19:05:02,brandonwillard labeled 2020-09-28 05:17:11,brandonwillard labeled 2020-09-28 05:17:11,brandonwillard milestoned 2020-09-29 16:24:50,brandonwillard mentioned 2020-10-31 13:45:42,brandonwillard subscribed 2020-10-31 13:45:42,eigenfoo assigned 2020-11-02 01:18:26,brandonwillard closed 2020-11-02 01:38:16",eigenfoo brandonwillard,2
24,25,Adding support of FEniCS models,IvanYashchuk,"I've made a small package for embedding [FEniCS](https://fenicsproject.org/) PDE solvers in Theano.
https://github.com/IvanYashchuk/fenics-pymc3
The current API is just one function `create_fenics_theano_op` which turns a normal Python function, which expects FEniCS inputs and outputs a solution to the problem, into a differentiable Theano Op that can be directly used in a PyMC3 model.
This function can be used as a decorator (with `@create_fenics_theano_op` syntax) as well.
@junpenglao suggested that it could of interest to port it here. What do other people think about this?
I'm not well familiar with the code structure here, what would be a good place for this FEniCS integration functionality?
Also if we get to the point of having FEniCS support here, we should also make it work with [Firedrake](https://firedrakeproject.org/), which has more or less the same Python interface as FEniCS, but a different backend.
",,,2020-08-15 18:19:14,2020-08-15 21:44:40,"junpenglao mentioned 2020-08-15 18:19:14,junpenglao subscribed 2020-08-15 18:19:14,brandonwillard closed 2020-08-15 21:44:40,brandonwillard mentioned 2020-08-17 09:23:20,brandonwillard subscribed 2020-08-17 09:23:20",twiecki junpenglao brandonwillard IvanYashchuk,2
26,29,Beta often diverges when logodds is close to 19.0,bridgeland,"## Description 

This simple model never diverges in NUTS:

```python
import numpy as np
import pymc3 as pm

with pm.Model() as good_model:
    good_beta = pm.Beta('good_beta', alpha=0.25, beta=3.0, shape=40)

with good_model:
    good_trace = pm.sample(draws=600, chains=2, tune=500) 
```

But this very similar model---with alpha and beta swapped---diverges on about half the samples:


```python
import numpy as np
import pymc3 as pm

with pm.Model() as bad_model:
    bad_beta = pm.Beta('bad_beta', alpha=3.0, beta=0.25, shape=40)

with bad_model:
    bad_trace = pm.sample(draws=600, chains=2, tune=500)
```

```python
Sampling 2 chains for 500 tune and 600 draw iterations (1_000 + 1_200 draws total) took 17 seconds.
There were 328 divergences after tuning. Increase `target_accept` or reparameterize.
There were 282 divergences after tuning. Increase `target_accept` or reparameterize.
The acceptance probability does not match the target. It is 0.8848443240050202, but should be close to 0.8. Try to increase the number of tuning steps.
The estimated number of effective samples is smaller than 200 for some parameters.
```

The problem appears to be that in the diverging samples, one element of **bad_beta** jumps to a logodds that is close to (but less than) the value 19.0

```python
def max_bad_beta(warning):
    return np.amax(warning.extra['bad_beta_logodds__'])

def logodds_and_beta(value):
    return value, pm.transforms.logodds.backward(value).eval()[()]

def maxs_from_warnings(trace, limit=50):
    warnings = trace.report._warnings[:limit]
    return [logodds_and_beta(max_bad_beta(warning)) for warning in warnings]

maxs_from_warnings(bad_trace)
[(18.522285926243683, 0.9999999909661387),
 (18.026951801202443, 0.9999999851750137),
 (18.273787751452954, 0.9999999884176999),
 (15.811521213093858, 0.9999998641237577),
 (18.788894703456123, 0.999999993080309),
 (17.840933189508505, 0.9999999821441242),
 (18.99068873589819, 0.9999999943447908),
 (18.650396555754487, 0.9999999920524058),
 (18.886465782831156, 0.9999999937235782),
 (18.614120566380194, 0.9999999917588059),
 (18.748619470023584, 0.9999999927959284),
 (18.96328594127111, 0.9999999941876794),
 (18.43516905323891, 0.9999999901438387),
 (18.7824011307429, 0.9999999930352292),
 (18.61426914065103, 0.9999999917600301),
 (18.61426914065103, 0.9999999917600301),
 (18.959200871340606, 0.9999999941638871),
 (18.310579256420056, 0.9999999888360865),
 (18.875771090438388, 0.9999999936560935),
 (18.419609630862556, 0.9999999899892832),
 (18.743196196992155, 0.9999999927567527), 
...
]
```

What is special about 19? Note that **good_beta** generates logodds close to -19.0 as often as **bad_beta** generates logodds close to 19.0, but **good_beta** never diverges.

## Versions and main components

* PyMC3 Version: 3.9.1
* Theano Version: 1.0.4
* Python Version: 3.8.3
* Operating system: macOS 10.15.16
* How did you install PyMC3: conda
",bug,,2020-08-23 12:58:26,2020-09-16 08:45:23,"twiecki mentioned 2020-08-25 08:10:11,twiecki subscribed 2020-08-25 08:10:11,brandonwillard mentioned 2020-08-25 08:10:11,brandonwillard subscribed 2020-08-25 08:10:11,aseyboldt mentioned 2020-08-25 08:10:11,aseyboldt subscribed 2020-08-25 08:10:11,bridgeland mentioned 2020-08-25 08:10:11,bridgeland subscribed 2020-08-25 08:10:11,AlexAndorra mentioned 2020-08-25 08:39:06,AlexAndorra subscribed 2020-08-25 08:39:06,AlexAndorra transferred 2020-08-25 08:42:06,AlexAndorra labeled 2020-08-25 08:42:41,brandonwillard mentioned 2020-08-25 12:05:17,brandonwillard subscribed 2020-08-25 12:05:18,aseyboldt mentioned 2020-08-25 13:13:23,aseyboldt subscribed 2020-08-25 13:13:23,AlexAndorra mentioned 2020-08-25 13:13:23,AlexAndorra subscribed 2020-08-25 13:13:23,aseyboldt mentioned 2020-08-26 11:21:10,aseyboldt subscribed 2020-08-26 11:21:10,aseyboldt mentioned 2020-08-27 15:00:10,aseyboldt subscribed 2020-08-27 15:00:10,aseyboldt mentioned 2020-08-27 16:35:59,aseyboldt subscribed 2020-08-27 16:35:59,twiecki mentioned 2020-08-28 10:57:52,twiecki subscribed 2020-08-28 10:57:52,brandonwillard mentioned 2020-08-28 10:57:52,brandonwillard subscribed 2020-08-28 10:57:52,aseyboldt mentioned 2020-08-28 10:57:52,aseyboldt subscribed 2020-08-28 10:57:52,AlexAndorra mentioned 2020-08-28 10:57:52,AlexAndorra subscribed 2020-08-28 10:57:53,bridgeland mentioned 2020-08-28 15:30:09,bridgeland subscribed 2020-08-28 15:30:09,brandonwillard mentioned 2020-08-28 20:08:45,brandonwillard subscribed 2020-08-28 20:08:45,brandonwillard connected 2020-08-28 20:35:51,twiecki closed 2020-09-16 08:45:23",brandonwillard aseyboldt bridgeland twiecki AlexAndorra,20
31,33,Add grad of GammaInc,twiecki,https://github.com/pymc-devs/pymc3/pull/2688#issuecomment-687196112,,,2020-09-04 18:22:33,2020-11-07 22:49:56,eigenfoo closed 2020-11-07 22:49:57,eigenfoo twiecki,1
32,34,Fix constant folding optimization error caused by AdvancedBooleanSubtensor,brandonwillard,"Theano's boolean indexing does not match NumPy's.

Consider the following:

```python
import numpy as np

import theano
import theano.tensor as tt


theano.config.cxx = """"


test_array = np.array([[np.inf],
                       [10],
                       [np.inf]])

test_array[~np.isinf(test_array)]
```

```python
[10.]
```

The Theano analog is as follows:

```python
test_array_tt = tt.as_tensor_variable(test_array)

test_array_tt[~tt.isinf(test_array_tt)]
```

```python
/tmp/user/1000/babel-Hkkg0F/python-ZsmiGy in <module>
      1 test_array_tt = tt.as_tensor_variable(test_array)
      2
----> 3 test_array_tt[~tt.isinf(test_array_tt)]

~/projects/code/python/Theano/theano/tensor/var.py in __getitem__(self, args)
    579
    580         if advanced_boolean:
--> 581             return theano.tensor.subtensor.advanced_boolean_subtensor(self, *args)
    582         elif advanced:
    583             if (

~/projects/code/python/Theano/theano/gof/op.py in __call__(self, *inputs, **kwargs)
    611         """"""
    612         return_list = kwargs.pop(""return_list"", False)
--> 613         node = self.make_node(*inputs, **kwargs)
    614
    615         if config.compute_test_value != ""off"":

~/projects/code/python/Theano/theano/tensor/subtensor.py in make_node(self, x, *index)
   2305
   2306         index = tuple(map(as_index_variable, index))
-> 2307         bcast = adv_index_broadcastable_pattern(x, index)
   2308         return gof.Apply(
   2309             self,

~/projects/code/python/Theano/theano/tensor/subtensor.py in adv_index_broadcastable_pattern(a, idx)
   2239     # 2 - True = 1; 2 - False = 2
   2240     fakeshape = [2 - bc for bc in a.broadcastable]
-> 2241     retshape = np.empty(fakeshape)[newidx].shape
   2242     return tuple([dim == 1 for dim in retshape])
   2243

IndexError: boolean index did not match indexed array along dimension 1; dimension is 1 but corresponding boolean dimension is 2


```

The code can be made to work after `tt.squeeze`-ing the boolean index array, but this is a poor solution.
",bug graph rewriting,brandonwillard,2020-09-06 23:13:26,2020-10-14 06:07:11,"brandonwillard labeled 2020-09-06 23:13:33,brandonwillard connected 2020-09-26 00:30:58,brandonwillard disconnected 2020-10-05 04:43:26,brandonwillard renamed 2020-10-14 04:43:07,brandonwillard labeled 2020-10-14 04:43:49,brandonwillard assigned 2020-10-14 04:43:51,brandonwillard connected 2020-10-14 05:10:46,brandonwillard closed 2020-10-14 06:07:11",brandonwillard,1
34,36,Implement NumPy's broadcast_to,brandonwillard,"Theano could really benefit from an implementation of NumPy's [`broadcast_to`](https://numpy.org/doc/stable/reference/generated/numpy.broadcast_to.html)&mdash;one that uses views and doesn't create an entirely new array.  With an implementation of this, it seems like most of the other `broadcast_*` functions could be implemented, as well.",enhancement,brandonwillard,2020-09-06 23:56:59,2020-11-04 06:06:55,"brandonwillard labeled 2020-09-06 23:57:07,brandonwillard labeled 2020-09-29 16:18:09,brandonwillard assigned 2020-11-04 04:40:31,brandonwillard closed 2020-11-04 06:06:55",brandonwillard,0
35,37,Reconsider the graph object model,brandonwillard,"~The constant caching severely complicates graph manipulation/""optimization"" by&mdash;for instance&mdash;requiring that such constants be cloned in order to be used within more than one `FunctionGraph`.  This cloning requirement ultimately extends to the graphs that contain these cached constants and the result is an overly complicated and wasteful process of object cloning and clone-to-original map management (and maps to and from further clones, in some cases).~

~First, how much does this caching actually save?  Was this ever measured or was it just applied?  It's implied that this caching improves the performance of the `MergeOptimizer`; is that the only thing it helps?  Is it simply attempting to save resources by only performing an `is` check instead of a potentially costly descent into subgraphs for further comparisons?  What problem is the `FunctionGraph` trying to avoid by not allowing cached variables, and is that problem only avoided by completely cloning graphs?~

All this touches upon some very fundamental graph object model choices/inconsistencies revolving around object identity and equality.  Theano graph objects do not consistently implement `__eq__` (well, most simply don't), so there are numerous ""local"" work-arounds throughout the codebase to determine object equality to varying degrees&mdash;including the `MergeOptimizer` itself.  ~Constant caching looks like just another example, since it's effectively assigning a singleton-like property to a subset of graph objects.~

This&mdash;and many other issues and complexities&mdash;could be better addressed with a more consistent object model, and one that uses the built-in Python OOP features to implement it.  (Especially since they were arguably designed for exactly these kinds of things.)

For instance, a base implementation of `__eq__` is simple to provide, since&mdash;as usual&mdash;the core graph types can be mapped directly to S-expressions (see the Theano meta graph support in [`symbolic-pymc`](https://github.com/pymc-devs/symbolic-pymc)).  Furthermore, if immutability is added to the model, hash generation and equality comparisons can be cached (and locally, by the the objects themselves).  

Alternatively, unique IDs/names can be used to simplify identity and equality comparisons, with some severe limitations, though.

Anyway, we should start considering changes like this now, because, after they're in place, I believe we could start to make vast improvements in performance and general usability.  Without them, we could end up facing the same problems over and over again in superficially different forms.",enhancement question,,2020-09-11 04:07:14,2021-04-16 19:11:53,"brandonwillard labeled 2020-09-11 04:09:43,brandonwillard labeled 2020-09-11 04:09:43,brandonwillard renamed 2020-10-15 00:37:24,michaelosthege milestoned 2020-12-15 19:16:22,brandonwillard closed 2021-04-16 19:11:53,aesara-devs locked 2021-04-16 19:11:54",michaelosthege aesara-devs brandonwillard,0
39,41,Uninformative Theano Error (Copied from PyMC3),canyon289,"Moving as part of the issue triage. See discussion below
https://github.com/pymc-devs/pymc3/issues/1492",,,2020-09-18 14:14:02,2020-09-18 14:14:40,canyon289 closed 2020-09-18 14:14:40,canyon289,1
41,45,"Refactor sub-packages, modules, and imports",brandonwillard,"The current package/module structure leads to numerous circular dependencies and an overall unwieldy import process.  We need to refactor the imports and module/subpackage layouts entirely. 

For instance, it should be possible to import the core graph types (e.g. `Node`, `Apply`, `Variable`) without importing any `Op`s, `Linkers`, and other compilation-based classes.  Furthermore, there's rampant use of module references like `theano.*` to access objects within subpackages.  This obfuscates the dependency structure when casually reading source file headers and balloons the cross-dependencies when use of `theano.*` alone perform numerous automatic imports.",good first issue help wanted important,,2020-09-26 00:29:05,2021-01-27 20:25:08,"brandonwillard labeled 2020-09-26 00:29:05,brandonwillard labeled 2020-09-26 00:29:05,brandonwillard pinned 2020-09-29 14:35:16,brandonwillard labeled 2020-09-29 14:35:33,brandonwillard milestoned 2020-09-29 16:24:50,twiecki unpinned 2020-11-08 20:37:40,michaelosthege demilestoned 2020-12-15 19:18:51,michaelosthege milestoned 2020-12-15 19:18:51,brandonwillard closed 2021-01-27 20:25:08",michaelosthege twiecki brandonwillard,4
42,46,Implement JAX conversion for CGemv Op,aloctavodia,"This model runs 

```Python
data = np.random.normal(0, 1, 10)
with pm.Model() as model:
    a = pm.Normal(""a"", 0., 1.)
    b = pm.Normal(""b"", 0, 1.)
    y = pm.Normal(""y"", a, b, observed=data)
    trace = pm.sample_smc(100, chains=1, parallel=False)
```

This other model 

```Python
def two_gaussians(x):
    log_like1 = - 0.5 * n * tt.log(2 * np.pi) \\
                - 0.5 * tt.log(dsigma) \\
                - 0.5 * (x - mu1).T.dot(isigma).dot(x - mu1)
    log_like2 = - 0.5 * n * tt.log(2 * np.pi) \\
                - 0.5 * tt.log(dsigma) \\
                - 0.5 * (x - mu2).T.dot(isigma).dot(x - mu2)
    return pm.math.logsumexp([tt.log(w1) + log_like1, tt.log(w2) + log_like2])


with pm.Model() as model:
    X = pm.Uniform('X',
                   shape=n,
                   lower=-2. * np.ones_like(mu1),
                   upper=2. * np.ones_like(mu1),
                   testval=-1. * np.ones_like(mu1))
    llk = pm.Potential('llk', two_gaussians(X))
    trace = pm.sample_smc(2000, chains=1, parallel=False)
```
throws `AttributeError: 'ScalarSigmoid' object has no attribute 'nfunc_spec'`

It seems this could be fixing adding  `nfunc_spec = ('scipy.special.expit', 1, 1)` to the class `ScalarSigmoid` (not sure this is correct) by doing so 
I then get the error `'ScalarSoftplus' object has no attribute 'nfunc_spec'` which I guess should have a similar solution but not sure exactly what. 

If I just add something just to avoid the error I then get `NotImplementedError: No JAX conversion for the given `Op`: CGemv{inplace}` 



",enhancement JAX,brandonwillard,2020-09-26 15:40:36,2020-09-27 05:08:48,"twiecki labeled 2020-09-26 17:21:34,brandonwillard renamed 2020-09-27 00:03:57,brandonwillard assigned 2020-09-27 00:03:58,brandonwillard labeled 2020-09-27 00:04:04,aloctavodia mentioned 2020-09-27 03:53:24,aloctavodia subscribed 2020-09-27 03:53:24,brandonwillard closed 2020-09-27 05:08:48",aloctavodia twiecki brandonwillard,3
44,49,Missing Op: ExtractDiag,twiecki,"Trying to run a GP model:

```python
---------------------------------------------------------------------------
NotImplementedError                       Traceback (most recent call last)
<ipython-input-19-7a2d0b5601fb> in <module>
      1 with model:
----> 2     tr_jax = sample_tfp_nuts(chains=4, target_accept=0.95)

<ipython-input-9-54c111d89074> in sample_tfp_nuts(draws, tune, chains, target_accept, seed, model)
     15 
     16     fgraph = theano.gof.FunctionGraph(model.free_RVs, [model.logpt])
---> 17     fns = theano.sandbox.jaxify.jax_funcify(fgraph)
     18     logp_fn_jax = fns[0]
     19 

~/miniconda3/envs/pymc3theano/lib/python3.8/functools.py in wrapper(*args, **kw)
    873                             '1 positional argument')
    874 
--> 875         return dispatch(args[0].__class__)(*args, **kw)
    876 
    877     funcname = getattr(func, '__name__', 'singledispatch function')

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in jax_funcify_FunctionGraph(fgraph)
    522 
    523     out_nodes = [r.owner for r in fgraph.outputs if r.owner is not None]
--> 524     jax_funcs = [compose_jax_funcs(o, fgraph.inputs) for o in out_nodes]
    525 
    526     return jax_funcs

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in <listcomp>(.0)
    522 
    523     out_nodes = [r.owner for r in fgraph.outputs if r.owner is not None]
--> 524     jax_funcs = [compose_jax_funcs(o, fgraph.inputs) for o in out_nodes]
    525 
    526     return jax_funcs

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
    109             input_f = jax_data_func
    110         else:
--> 111             input_f = compose_jax_funcs(i.owner, fgraph_inputs, memo)
    112 
    113         input_funcs.append(input_f)

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
    109             input_f = jax_data_func
    110         else:
--> 111             input_f = compose_jax_funcs(i.owner, fgraph_inputs, memo)
    112 
    113         input_funcs.append(input_f)

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
    109             input_f = jax_data_func
    110         else:
--> 111             input_f = compose_jax_funcs(i.owner, fgraph_inputs, memo)
    112 
    113         input_funcs.append(input_f)

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
    109             input_f = jax_data_func
    110         else:
--> 111             input_f = compose_jax_funcs(i.owner, fgraph_inputs, memo)
    112 
    113         input_funcs.append(input_f)

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
    109             input_f = jax_data_func
    110         else:
--> 111             input_f = compose_jax_funcs(i.owner, fgraph_inputs, memo)
    112 
    113         input_funcs.append(input_f)

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
    109             input_f = jax_data_func
    110         else:
--> 111             input_f = compose_jax_funcs(i.owner, fgraph_inputs, memo)
    112 
    113         input_funcs.append(input_f)

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
    109             input_f = jax_data_func
    110         else:
--> 111             input_f = compose_jax_funcs(i.owner, fgraph_inputs, memo)
    112 
    113         input_funcs.append(input_f)

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
    109             input_f = jax_data_func
    110         else:
--> 111             input_f = compose_jax_funcs(i.owner, fgraph_inputs, memo)
    112 
    113         input_funcs.append(input_f)

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
    109             input_f = jax_data_func
    110         else:
--> 111             input_f = compose_jax_funcs(i.owner, fgraph_inputs, memo)
    112 
    113         input_funcs.append(input_f)

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in compose_jax_funcs(out_node, fgraph_inputs, memo)
     90         return memo[out_node]
     91 
---> 92     jax_return_func = jax_funcify(out_node.op)
     93 
     94     input_funcs = []

~/miniconda3/envs/pymc3theano/lib/python3.8/functools.py in wrapper(*args, **kw)
    873                             '1 positional argument')
    874 
--> 875         return dispatch(args[0].__class__)(*args, **kw)
    876 
    877     funcname = getattr(func, '__name__', 'singledispatch function')

~/projects/Theano-PyMC/theano/sandbox/jaxify.py in jax_funcify(op)
    136 def jax_funcify(op):
    137     """"""Create a JAX ""perform"" function for a Theano `Variable` and its `Op`.""""""
--> 138     raise NotImplementedError(""No JAX conversion for the given `Op`: {}"".format(op))
    139 
    140 

NotImplementedError: No JAX conversion for the given `Op`: ExtractDiag{offset=0, axis1=0, axis2=1, view=False}
```",JAX,,2020-09-27 11:48:38,2020-10-01 21:22:04,"twiecki labeled 2020-09-27 11:48:38,brandonwillard connected 2020-10-01 21:21:12,brandonwillard closed 2020-10-01 21:22:04",twiecki brandonwillard,1
46,52,Remove theano.dot,brandonwillard,"The `__init__.py`-level `theano.dot` function is awkward and&mdash;as far as I can tell&mdash;completely unnecessary.  What it appears to be doing is supposed to be done in class-level implementations of `__dot__` and `__rdot__` (e.g. an interface/mixin class that checks both objects for the appropriate methods).

This function should be removed and the classes that implement `__dot__` and `__rdot__` (e.g. `theano.tensor.var._tensor_py_operators`) should handle this.",enhancement good first issue,eigenfoo,2020-09-27 22:37:07,2020-11-10 00:03:02,"brandonwillard labeled 2020-09-27 22:37:07,brandonwillard labeled 2020-09-27 22:37:07,brandonwillard milestoned 2020-09-29 16:24:51,eigenfoo assigned 2020-11-02 02:07:09,brandonwillard closed 2020-11-10 00:03:02",eigenfoo twiecki brandonwillard,5
47,53,Move Theano Type instance definitions,brandonwillard,"The modules `theano.tensor.basic` and `theano.scalar.basic` contain numerous type definitions (e.g. `TensorType(""float32"", (True, False))`).  These are more appropriately defined in their respective `type.py` modules (e.g. where `TensorType` itself is defined).  Currently, they're just creating unnecessary dependencies between said types and those very large `basic.py` modules.",enhancement help wanted,,2020-09-27 23:04:16,2021-01-27 20:25:24,"brandonwillard labeled 2020-09-27 23:04:16,brandonwillard labeled 2020-09-27 23:04:16,brandonwillard labeled 2020-09-27 23:04:16,brandonwillard milestoned 2020-09-29 16:24:51,canyon289 assigned 2020-11-07 21:22:17,brandonwillard renamed 2020-11-16 01:16:35,canyon289 unassigned 2020-11-22 03:55:19,brandonwillard unlabeled 2020-11-22 04:10:04,michaelosthege demilestoned 2020-12-15 19:21:57,michaelosthege milestoned 2020-12-15 19:21:57,brandonwillard closed 2021-01-27 20:25:24",canyon289 michaelosthege brandonwillard,4
49,55,Rename scalar and tensor maximum and minimum Ops,brandonwillard,There are distinct `maximum` and `minimum` `Op`s in both `theano.scalar.basic` and `theano.tensor.basic`.  It seems like we could give these different names and avoid the confusion and potential for bugs.,enhancement good first issue help wanted,michaelosthege,2020-09-28 03:55:10,2021-01-03 00:13:04,"brandonwillard labeled 2020-09-28 03:55:10,brandonwillard labeled 2020-09-28 03:55:10,brandonwillard labeled 2020-09-28 03:55:10,brandonwillard renamed 2020-09-28 03:55:22,brandonwillard milestoned 2020-09-29 16:24:51,michaelosthege demilestoned 2020-12-15 19:22:22,michaelosthege milestoned 2020-12-15 19:22:22,michaelosthege assigned 2020-12-15 21:03:58,michaelosthege referenced 2020-12-16 12:42:01,brandonwillard referenced 2021-01-02 21:03:36,brandonwillard referenced 2021-01-02 23:23:19,brandonwillard closed 2021-01-03 00:13:05",michaelosthege brandonwillard,2
50,56,pymc3jax: AttributeError: partially initialized module 'theano' has no attribute 'compile' (most likely due to a circular import),fbartolic,"# Description of your problem
I was very excited to try out the new JAX sampler on my models but I ran into an error when trying to run the example notebook:
https://gist.github.com/twiecki/f0a28dd06620aa86142931c1f10b5434

I created a new conda environment and installed all the dependencies mentioned in the notebook but I get the following error when I run it:

```Python
---------------------------------------------------------------------------
AttributeError                            Traceback (most recent call last)
<ipython-input-1-f103cf5131d4> in <module>
      3 import numpy as np
      4 import pandas as pd
----> 5 import pymc3 as pm
      6 import theano
      7 import pymc3.sampling_jax

~/anaconda3/envs/pymc3jax/lib/python3.8/importlib/_bootstrap.py in _find_and_load(name, import_)

~/anaconda3/envs/pymc3jax/lib/python3.8/importlib/_bootstrap.py in _find_and_load_unlocked(name, import_)

~/anaconda3/envs/pymc3jax/lib/python3.8/importlib/_bootstrap.py in _load_unlocked(spec)

~/anaconda3/envs/pymc3jax/lib/python3.8/importlib/_bootstrap.py in _load_backward_compatible(spec)

<frozen zipimport> in load_module(self, fullname)

~/anaconda3/envs/pymc3jax/lib/python3.8/site-packages/pymc3-3.9.3-py3.8.egg/pymc3/__init__.py in <module>
     37 
     38 
---> 39 __set_compiler_flags()
     40 
     41 from .blocking import *

~/anaconda3/envs/pymc3jax/lib/python3.8/site-packages/pymc3-3.9.3-py3.8.egg/pymc3/__init__.py in __set_compiler_flags()
     31 def __set_compiler_flags():
     32     # Workarounds for Theano compiler problems on various platforms
---> 33     import theano
     34 
     35     current = theano.config.gcc.cxxflags

~/anaconda3/envs/pymc3jax/lib/python3.8/site-packages/Theano_PyMC-1.0.5+28.gcbb4f83ee-py3.8.egg/theano/__init__.py in <module>
     92 
     93 
---> 94 from theano.configdefaults import config
     95 from theano.configparser import change_flags
     96 

~/anaconda3/envs/pymc3jax/lib/python3.8/site-packages/Theano_PyMC-1.0.5+28.gcbb4f83ee-py3.8.egg/theano/configdefaults.py in <module>
    620 
    621 
--> 622 AddConfigVar(
    623     ""mode"", ""Default compilation mode"", ConfigParam(""Mode"", filter_mode), in_c_key=False
    624 )

~/anaconda3/envs/pymc3jax/lib/python3.8/site-packages/Theano_PyMC-1.0.5+28.gcbb4f83ee-py3.8.egg/theano/configparser.py in AddConfigVar(name, doc, configparam, root, in_c_key)
    299         # This allow to filter wrong value from the user.
    300         if not callable(configparam.default):
--> 301             configparam.__get__(root, type(root), delete_key=True)
    302         else:
    303             # We do not want to evaluate now the default value

~/anaconda3/envs/pymc3jax/lib/python3.8/site-packages/Theano_PyMC-1.0.5+28.gcbb4f83ee-py3.8.egg/theano/configparser.py in __get__(self, cls, type_, delete_key)
    345                 else:
    346                     val_str = self.default
--> 347             self.__set__(cls, val_str)
    348         # print ""RVAL"", self.val
    349         return self.val

~/anaconda3/envs/pymc3jax/lib/python3.8/site-packages/Theano_PyMC-1.0.5+28.gcbb4f83ee-py3.8.egg/theano/configparser.py in __set__(self, cls, val)
    357         # print ""SETTING PARAM"", self.fullname,(cls), val
    358         if self.filter:
--> 359             self.val = self.filter(val)
    360         else:
    361             self.val = val

~/anaconda3/envs/pymc3jax/lib/python3.8/site-packages/Theano_PyMC-1.0.5+28.gcbb4f83ee-py3.8.egg/theano/configdefaults.py in filter_mode(val)
    605             ""DEBUG_MODE"",
    606         ]
--> 607         or val in theano.compile.mode.predefined_modes
    608     ):
    609         return val

AttributeError: partially initialized module 'theano' has no attribute 'compile' (most likely due to a circular import)
```

## Versions and main components
* PyMC3 Version:  `pymc3jax` branch
* Theano Version:  `Theano-Pymc` master branch
* Python Version: 3.8
* Operating system: Mac OS Catalina
* How did you install PyMC3: manual installation ",bug,,2020-09-28 21:03:51,2020-09-29 16:36:09,"brandonwillard transferred 2020-09-28 21:18:17,brandonwillard labeled 2020-09-28 21:18:31,brandonwillard connected 2020-09-28 21:21:55,fbartolic mentioned 2020-09-28 21:22:31,fbartolic subscribed 2020-09-28 21:22:31,brandonwillard disconnected 2020-09-29 07:05:09,brandonwillard connected 2020-09-29 07:05:09,brandonwillard closed 2020-09-29 16:36:09",brandonwillard fbartolic,2
